codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
A10824E,A10824E,MECHA FORSTNER BIT PARA MADERA 26MM,MECHA FORSTNER BIT PARA MADERA 26MM,Herramientas manuales,0,unidad,6589.26,7973.0,7973.0,21,0,0,true,PRESUPUESTO_9035_ITEM_1
A11581E,A11581E,PUNTAS PH2 C/AUTOSTOP JUEGO 10 UNIDADES,PUNTAS PH2 CON AUTOSTOP JUEGO 10 UNIDADES,Herramientas manuales,0,juego,6870.92,8313.81,8313.81,21,0,0,true,PRESUPUESTO_9035_ITEM_2
D12166E,D12166E,GRAMPA P/ CABLE COAXIL 8MM CLAVO ACERO X100 UN.,GRAMPA PARA CABLE COAXIL 8MM CLAVO ACERO X100 UN.,Electricidad,0,pack,1427.0,1726.67,1726.67,21,0,0,true,PRESUPUESTO_9035_ITEM_3
D12167F,D12167F,GRAMPA P/ CABLE COAXIL 10MM CLAVO ACERO X100 UN.,GRAMPA PARA CABLE COAXIL 10MM CLAVO ACERO X100 UN.,Electricidad,0,pack,1806.8,2186.23,2186.23,21,0,0,true,PRESUPUESTO_9035_ITEM_4
D12165F,D12165F,GRAMPA P/ CABLE N°5 X 100 BLANCA,GRAMPA PARA CABLE NRO 5 X 100 BLANCA,Electricidad,0,pack,991.74,1200.0,1200.0,21,0,0,true,PRESUPUESTO_9035_ITEM_5
A11610P,A11610P,TANZA ALBAÑIL 0.80 MM CARRETEL X 100 MTS,TANZA ALBAÑIL 0.80 MM CARRETEL X 100 MTS,Albañilería,0,carretel,3681.07,4454.1,4454.1,21,0,0,true,PRESUPUESTO_9035_ITEM_6
C15302F,C15302F,PINCEL PROFESIONAL VIROLA 1 N°15 ROTTWEILER,PINCEL PROFESIONAL VIROLA 1 NRO 15 ROTTWEILER,Pinturería,Rottweiler,unidad,1187.21,1436.53,1436.53,21,0,0,true,PRESUPUESTO_9035_ITEM_7
C15303F,C15303F,PINCEL PROFESIONAL VIROLA 1 N°20 ROTTWEILER,PINCEL PROFESIONAL VIROLA 1 NRO 20 ROTTWEILER,Pinturería,Rottweiler,unidad,1632.41,1975.22,1975.22,21,0,0,true,PRESUPUESTO_9035_ITEM_8
A11402E,A11402E,PLOMADA DE ALBAÑIL 500 GRS,PLOMADA DE ALBAÑIL 500 GRS,Albañilería,0,unidad,4962.14,6004.19,6004.19,21,0,0,true,PRESUPUESTO_9035_ITEM_9
A11403F,A11403F,PLOMADA DE ALBAÑIL 400 GRS,PLOMADA DE ALBAÑIL 400 GRS,Albañilería,0,unidad,4559.5,5517.0,5517.0,21,0,0,true,PRESUPUESTO_9035_ITEM_10
A10826JF,A10826JF,MECHA ESCALONADA PARA TERMOFUSION EN SET X 3 PZS,MECHA ESCALONADA PARA TERMOFUSION EN SET X 3 PIEZAS,Herramientas manuales,0,set,13296.69,16089.0,16089.0,21,0,0,true,PRESUPUESTO_9035_ITEM_11
A10660E,A10660E,FORMONES EN JUEGO X 4 PZAS M/MADERA,FORMONES EN JUEGO X 4 PIEZAS MANGO MADERA,Herramientas manuales,0,juego,9522.03,11521.66,11521.66,21,0,0,true,PRESUPUESTO_9035_ITEM_12
D12797F,D12797F,PRECINTO NYLON 250 MM X 3.6MM BLANCO ROTTWEILER,PRECINTO NYLON 250 MM X 3.6MM BLANCO ROTTWEILER,Tornillería y fijaciones,Rottweiler,bolsa,2869.21,3471.75,3471.75,21,0,0,true,PRESUPUESTO_9035_ITEM_13
D12802M,D12802M,PRECINTO NYLON 380 MM X 4.8MM GRIS ROTTWEILER,PRECINTO NYLON 380 MM X 4.8MM GRIS ROTTWEILER,Tornillería y fijaciones,Rottweiler,bolsa,6377.69,7717.01,7717.01,21,0,0,true,PRESUPUESTO_9035_ITEM_14
D12800F,D12800F,PRECINTO NYLON 380MM X 4.8MM NEGRO ROTTWEILER,PRECINTO NYLON 380MM X 4.8MM NEGRO ROTTWEILER,Tornillería y fijaciones,Rottweiler,bolsa,6377.69,7717.01,7717.01,21,0,0,true,PRESUPUESTO_9035_ITEM_15
A10074E,A10074E,ARCO DE SIERRA JR CROMADO CON HOJA,ARCO DE SIERRA JR CROMADO CON HOJA,Herramientas manuales,0,unidad,1569.26,1898.8,1898.8,21,0,0,true,PRESUPUESTO_9035_ITEM_16
A11537E,A11537E,"SERRUCHO PARA DURLOCK 150MM ""KETTLER""","SERRUCHO PARA DURLOCK 150MM ""KETTLER""",Herramientas manuales,Kettler,unidad,7193.79,8704.48,8704.48,21,0,0,true,PRESUPUESTO_9035_ITEM_17
A11536E,A11536E,"SERRUCHO DE PODA CURVO DE 12""","SERRUCHO DE PODA CURVO DE 12""",Jardinería,0,unidad,5587.6,6761.0,6761.0,21,0,0,true,PRESUPUESTO_9035_ITEM_18
A11535F,A11535F,"SERRUCHO CARPINTERO DE 20"" MANGO ERGONOMICO","SERRUCHO CARPINTERO DE 20"" MANGO ERGONOMICO",Herramientas manuales,0,unidad,10520.66,12730.0,12730.0,21,0,0,true,PRESUPUESTO_9035_ITEM_19
A11061F,A11061F,MARTILLO GALPONERO 27MM M/FIBRA GRIPGOMA,MARTILLO GALPONERO 27MM MANGO FIBRA GRIPGOMA,Herramientas manuales,Gripgoma,unidad,4778.51,5782.0,5782.0,21,0,0,true,PRESUPUESTO_9035_ITEM_20
A11062E,A11062E,MARTILLO GALPONERO PROFESIONAL 27MM M/MADERA,MARTILLO GALPONERO PROFESIONAL 27MM MANGO MADERA,Herramientas manuales,0,unidad,8478.92,10259.49,10259.49,21,0,0,true,PRESUPUESTO_9035_ITEM_21
A10542F,A10542F,"CUCHARA DE ALBAÑIL 7"" MOCHA","CUCHARA DE ALBAÑIL 7"" MOCHA",Albañilería,Mocha,unidad,2961.16,3583.0,3583.0,21,0,0,true,PRESUPUESTO_9035_ITEM_22
A11470F,A11470F,RASTRILLO ACERO CARBONO PROFESIONAL 12 DIENTES,RASTRILLO ACERO CARBONO PROFESIONAL 12 DIENTES,Jardinería,0,unidad,5079.34,6146.0,6146.0,21,0,0,true,PRESUPUESTO_9035_ITEM_23
