codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
SB10400,SB10400,CUCHARA DE ALBAÑIL PINTADA NRO 8 SIMBOLO / ROBLE,CUCHARA DE ALBANIL PINTADA NRO 8 SIMBOLO / ROBLE,Albañilería,Simbolo,unidad,6110.12,7393.25,7393.25,21.0,0,0,true,MACHENA_084795_ITEM_1
CAFRAPI30,CAFRAPI30,FRATACHO DE PINO 30 CM,FRATACHO DE PINO 30 CM,Albañilería,0,unidad,2921.43,3534.93,3534.93,21.0,0,0,true,MACHENA_084795_ITEM_2
CAFRAE25,CAFRAE25,FRATACHO C/ESPONJA DE 25 CM,FRATACHO C/ESPONJA DE 25 CM,Albañilería,0,unidad,1395.05,1688.01,1688.01,21.0,0,0,true,MACHENA_084795_ITEM_3
DPH2100,DPH2100,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 100 MM,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 100 MM,Herramientas manuales,Hamilton,unidad,3078.48,3724.96,3724.96,21.0,0,0,true,MACHENA_084795_ITEM_4
DPH2125,DPH2125,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 125 MM - DPH2125,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 125 MM - DPH2125,Herramientas manuales,Hamilton,unidad,3447.67,4171.68,4171.68,21.0,0,0,true,MACHENA_084795_ITEM_5
DPH2150,DPH2150,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 150 MM,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 150 MM,Herramientas manuales,Hamilton,unidad,3334.71,4035.00,4035.00,21.0,0,0,true,MACHENA_084795_ITEM_6
DPH225,DPH225,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 38 MM,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 38 MM,Herramientas manuales,Hamilton,unidad,2622.03,3172.66,3172.66,21.0,0,0,true,MACHENA_084795_ITEM_7
DPH2300,DPH2300,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 300 MM,DESTORNILLADOR HAMILTON PHILLIPS PH 2 X 300 MM,Herramientas manuales,Hamilton,unidad,4687.51,5671.89,5671.89,21.0,0,0,true,MACHENA_084795_ITEM_8
DPL5100,DPL5100,DESTORNILLADOR HAMILTON PLANO 5 X 100 MM,DESTORNILLADOR HAMILTON PLANO 5 X 100 MM,Herramientas manuales,Hamilton,unidad,2565.09,3103.76,3103.76,21.0,0,0,true,MACHENA_084795_ITEM_9
DPL5150,DPL5150,DESTORNILLADOR HAMILTON PLANO 5 X 150 MM - DPL5150 PUNTA MAGNETICA - VARILLA NIQUELADA,DESTORNILLADOR HAMILTON PLANO 5 X 150 MM - DPL5150 PUNTA MAGNETICA - VARILLA NIQUELADA,Herramientas manuales,Hamilton,unidad,2764.38,3344.90,3344.90,21.0,0,0,true,MACHENA_084795_ITEM_10
DPL6100,DPL6100,DESTORNILLADOR HAMILTON PLANO 6 X 100 MM,DESTORNILLADOR HAMILTON PLANO 6 X 100 MM,Herramientas manuales,Hamilton,unidad,3078.48,3724.96,3724.96,21.0,0,0,true,MACHENA_084795_ITEM_11
DPL6150,DPL6150,DESTORNILLADOR HAMILTON PLANO 6 X 150 MM,DESTORNILLADOR HAMILTON PLANO 6 X 150 MM,Herramientas manuales,Hamilton,unidad,3334.71,4035.00,4035.00,21.0,0,0,true,MACHENA_084795_ITEM_12
DPL638,DPL638,DESTORNILLADOR HAMILTON PLANO 6 X 38 MM,DESTORNILLADOR HAMILTON PLANO 6 X 38 MM,Herramientas manuales,Hamilton,unidad,2622.03,3172.66,3172.66,21.0,0,0,true,MACHENA_084795_ITEM_13
DPL8150,DPL8150,DESTORNILLADOR HAMILTON PLANO 8 X 150 MM,DESTORNILLADOR HAMILTON PLANO 8 X 150 MM,Herramientas manuales,Hamilton,unidad,5969.60,7223.22,7223.22,21.0,0,0,true,MACHENA_084795_ITEM_14
DPL8200,DPL8200,DESTORNILLADOR HAMILTON PLANO 8 X 200 MM,DESTORNILLADOR HAMILTON PLANO 8 X 200 MM,Herramientas manuales,Hamilton,unidad,5228.45,6326.42,6326.42,21.0,0,0,true,MACHENA_084795_ITEM_15
BAT3961,BAT3961,"PINCEL ATLAS HOBBY 396 X 1""",PINCEL ATLAS HOBBY 396 X 1 PULGADA,Pinturería,Atlas,unidad,1189.33,1439.09,1439.09,21.0,0,0,true,MACHENA_084795_ITEM_16
BAT396112,BAT396112,"PINCEL ATLAS HOBBY 396 X 1 1/2""",PINCEL ATLAS HOBBY 396 X 1 1/2 PULGADA,Pinturería,Atlas,unidad,1467.60,1775.80,1775.80,21.0,0,0,true,MACHENA_084795_ITEM_17
BAT39612,BAT39612,"PINCEL ATLAS HOBBY 396 X 1/2""",PINCEL ATLAS HOBBY 396 X 1/2 PULGADA,Pinturería,Atlas,unidad,793.50,960.14,960.14,21.0,0,0,true,MACHENA_084795_ITEM_18
BAT3962,BAT3962,"PINCEL ATLAS HOBBY 396 X 2""",PINCEL ATLAS HOBBY 396 X 2 PULGADA,Pinturería,Atlas,unidad,1745.88,2112.51,2112.51,21.0,0,0,true,MACHENA_084795_ITEM_19
BAT396212,BAT396212,"PINCEL ATLAS HOBBY 396 X 2 1/2""",PINCEL ATLAS HOBBY 396 X 2 1/2 PULGADA,Pinturería,Atlas,unidad,2452.13,2967.08,2967.08,21.0,0,0,true,MACHENA_084795_ITEM_20
BAT3963,BAT3963,"PINCEL ATLAS HOBBY 396 X 3""",PINCEL ATLAS HOBBY 396 X 3 PULGADA,Pinturería,Atlas,unidad,3013.27,3646.06,3646.06,21.0,0,0,true,MACHENA_084795_ITEM_21
BAT3964,BAT3964,"PINCEL ATLAS HOBBY 396 X 4""",PINCEL ATLAS HOBBY 396 X 4 PULGADA,Pinturería,Atlas,unidad,4004.22,4845.11,4845.11,21.0,0,0,true,MACHENA_084795_ITEM_22
616195000,616195000,DISCO C/P METABO 115 X 1 X 22.23 FLEXTAMANT SUPER PIEDRA - 616195000,DISCO C/P METABO 115 X 1 X 22.23 FLEXTAMANT SUPER PIEDRA - 616195000,Abrasivos,Metabo,unidad,324.80,393.01,393.01,21.0,0,0,true,MACHENA_084795_ITEM_23
ALL7347,ALL7347,"PRECINTO PLASTICO 100 MM X 2,5 X 100 UN BLANCO - 7347","PRECINTO PLASTICO 100 MM X 2,5 X 100 UN BLANCO - 7347",Electricidad,0,unidad,964.32,1166.83,1166.83,21.0,0,0,true,MACHENA_084795_ITEM_24
ALL7352,ALL7352,"PRECINTO PLASTICO 200 MM X 3,6 X 100 UN BLANCO - 7352","PRECINTO PLASTICO 200 MM X 3,6 X 100 UN BLANCO - 7352",Electricidad,0,unidad,3503.70,4239.48,4239.48,21.0,0,0,true,MACHENA_084795_ITEM_25
