codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
TAB12715E,TAB12715E,TORNILLO HEXAGONAL VUELO CHICO PUNTA 17 ENSAMBLADO BOLSA #14X2,TORNILLO HEXAGONAL VUELO CHICO PUNTA 17 ENSAMBLADO BOLSA NRO 14X2,Tornillería y fijaciones,0,bolsa,4168.21,5043.53,5043.53,21,0,0,true,FACTURA_21042026_ITEM_1
TAB12719E,TAB12719E,TORNILLO HEXAGONAL VUELO CHICO PUNTA 17 ENSAMBLADO BOLSA #14X2-1/2,TORNILLO HEXAGONAL VUELO CHICO PUNTA 17 ENSAMBLADO BOLSA NRO 14X2-1/2,Tornillería y fijaciones,0,bolsa,4602.64,5569.20,5569.20,21,0,0,true,FACTURA_21042026_ITEM_2
TAB13505,TAB13505,TORNILLO HEXAGONAL VUELO CHICO MECHA BOLSA #10X3/4,TORNILLO HEXAGONAL VUELO CHICO MECHA BOLSA NRO 10X3/4,Tornillería y fijaciones,0,bolsa,2525.83,3056.26,3056.26,21,0,0,true,FACTURA_21042026_ITEM_3
TAB13711E,TAB13711E,TORNILLO HEXAGONAL VUELO CHICO MECHA ENSAMBLADO BOLSA #14X1-1/2,TORNILLO HEXAGONAL VUELO CHICO MECHA ENSAMBLADO BOLSA NRO 14X1-1/2,Tornillería y fijaciones,0,bolsa,3668.37,4438.73,4438.73,21,0,0,true,FACTURA_21042026_ITEM_4
TAB13715E,TAB13715E,TORNILLO HEXAGONAL VUELO CHICO MECHA ENSAMBLADO BOLSA #14X2,TORNILLO HEXAGONAL VUELO CHICO MECHA ENSAMBLADO BOLSA NRO 14X2,Tornillería y fijaciones,0,bolsa,3930.79,4756.25,4756.25,21,0,0,true,FACTURA_21042026_ITEM_5
TAB13719E,TAB13719E,TORNILLO HEXAGONAL VUELO CHICO MECHA ENSAMBLADO BOLSA #14X2-1/2,TORNILLO HEXAGONAL VUELO CHICO MECHA ENSAMBLADO BOLSA NRO 14X2-1/2,Tornillería y fijaciones,0,bolsa,5179.12,6266.74,6266.74,21,0,0,true,FACTURA_21042026_ITEM_6
TAB31402,TAB31402,TORNILLO PHILLIPS WAFER PUNTA AGUJA BOLSA #8X1/2,TORNILLO PHILLIPS WAFER PUNTA AGUJA BOLSA NRO 8X1/2,Tornillería y fijaciones,0,bolsa,1353.72,1638.00,1638.00,21,0,0,true,FACTURA_21042026_ITEM_7
TAB31403,TAB31403,TORNILLO PHILLIPS WAFER PUNTA AGUJA BOLSA #8X9/16,TORNILLO PHILLIPS WAFER PUNTA AGUJA BOLSA NRO 8X9/16,Tornillería y fijaciones,0,bolsa,1499.50,1814.40,1814.40,21,0,0,true,FACTURA_21042026_ITEM_8
TAB31405,TAB31405,TORNILLO PHILLIPS WAFER PUNTA AGUJA BOLSA #8X3/4,TORNILLO PHILLIPS WAFER PUNTA AGUJA BOLSA NRO 8X3/4,Tornillería y fijaciones,0,bolsa,1704.44,2062.37,2062.37,21,0,0,true,FACTURA_21042026_ITEM_9
TAB33402,TAB33402,TORNILLO PHILLIPS WAFER MECHA BOLSA #8X1/2,TORNILLO PHILLIPS WAFER MECHA BOLSA NRO 8X1/2,Tornillería y fijaciones,0,bolsa,1366.21,1653.12,1653.12,21,0,0,true,FACTURA_21042026_ITEM_10
