codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
47789,47789,KIT TERMOFUSOR A BATERIA C/BOQ 16-40 2 BATERIAS,KIT TERMOFUSOR A BATERIA C/BOQ 16 40 2 BATERIAS,Ferretería general,,kit,,,,,,,true,247
1834,1834,DRAHH RAMAL A 45° HH 110-110 IPS DESAGUE,DRAHH RAMAL A 45 HH 110 110 IPS DESAGUE,Ferretería general,Ips,unidad,,,,,,,true,824
31609,31609,SOLUCION LUBRICANTE X 400CC VALINCO,SOLUCION LUBRICANTE X 400CC VALINCO,Ferretería general,,unidad,,,,,,,true,2328
27926,27926,"DESCARGA APOYO MOCHILA ROCA S/BOTON SUPERIOR 240MM 2""",DESCARGA APOYO MOCHILA ROCA S/BOTON SUPERIOR 240MM 2,Sanitarios y baño,Roca,unidad,,,,,,,true,2343
45841,45841,"MANOMETRO 0 A 4 kg / DIAMETRO 2 1/2"" ROSCA 1/4""",MANOMETRO 0 A 4 KG / DIAMETRO 2 1/2 ROSCA 1/4,Plomería agua,,metro,,,,,,,true,2522
47534,47534,CAMARA INSPECCION PP/PVC C/COJIN/MAR/TAPA PRECONS,CAMARA INSPECCION PP/PVC C/COJIN/MAR/TAPA PRECONS,Plomería agua,,unidad,,,,,,,true,2819
14775,14775,"CODO MH 5/16""BRONCE",CODO MH 5/16 BRONCE,Plomería agua,,unidad,,,,,,,true,3012
32136,32136,"CODO REDUCCION MACHO-MACHO 1/4""X1/8"" BRONCE",CODO REDUCCION MACHO MACHO 1/4 X1/8 BRONCE,Plomería agua,,unidad,,,,,,,true,3072
28582,28582,CINTA METRICA SERIE 500 5 mts BULIT,CINTA METRICA SERIE 500 5 MTS BULIT,Ferretería general,,metro,,,,,,,true,3087
46757,46757,AIRE ACONDICIONADO INVERTER 5300W RCA,AIRE ACONDICIONADO INVERTER 5300W RCA,Climatización,,unidad,,,,,,,true,3104
24345,24345,"CODO 3/4"" HIERRO FORJADO ASTM 105 SERIE 3000",CODO 3/4 HIERRO FORJADO ASTM 105 SERIE 3000,Plomería agua,,unidad,,,,,,,true,3137
26613,26613,"MANGUERA FLOTANTE BICOLOR PARA PILETA Ø 1 1/2""X8 mts VULCANO",MANGUERA FLOTANTE BICOLOR PARA PILETA 1 1/2 X8 MTS VULCANO,Plomería agua,,metro,,,,,,,true,3277
46126,46126,CLIMATIZADOR DE PISCINA DE PIE DIGITAL CP40 FORZAD,CLIMATIZADOR DE PISCINA DE PIE DIGITAL CP40 FORZAD,Ferretería general,,unidad,,,,,,,true,3411
17624,17624,RADIADOR DE ALUMINIO CLAN N 500 X 11 CALDAIA,RADIADOR DE ALUMINIO CLAN N 500 X 11 CALDAIA,Climatización,,unidad,,,,,,,true,3426
17628,17628,RADIADOR DE ALUMINIO CLAN N 500 X 15 CALDAIA,RADIADOR DE ALUMINIO CLAN N 500 X 15 CALDAIA,Climatización,,unidad,,,,,,,true,3430
38181,38181,TERMOTANQUE SOLAR ATMOSFERICO 200 Lts CONTUBO PEISA,TERMOTANQUE SOLAR ATMOSFERICO 200 LTS CONTUBO PEISA,Plomería agua,Peisa,litro,,,,,,,true,3525
34667,34667,HORNO A LEÑA EMB TANGO 04-000-020,HORNO A LENA EMB TANGO 04 000 020,Ferretería general,,unidad,,,,,,,true,3531
34668,34668,HORNO A LEÑA EMBUTIR TRH 04-000-011,HORNO A LENA EMBUTIR TRH 04 000 011,Ferretería general,,unidad,,,,,,,true,3532
34818,34818,HORNO A GAS TRH EMBUTIR,HORNO A GAS TRH EMBUTIR,Gas,,unidad,,,,,,,true,3547
27952,27952,SOMBRERETE DIAMETRO 110MM PVC BLANCO,SOMBRERETE DIAMETRO 110MM PVC BLANCO,Plomería agua,,metro,,,,,,,true,3739
31840,31840,ADHESIVO CON RETARDADOR 250 CC DUKE PARA PVC BLANCO,ADHESIVO CON RETARDADOR 250 CC DUKE PARA PVC BLANCO,Plomería agua,,unidad,,,,,,,true,3838
18173,18173,CABLE TELEFONICO SUBTERRANEO 4 PARES X mts,CABLE TELEFONICO SUBTERRANEO 4 PARES X MTS,Electricidad,,metro,,,,,,,true,3846
46761,46761,TERMICA 2X40A BAW - K42C40 BAW,TERMICA 2X40A BAW K42C40 BAW,Electricidad,,unidad,,,,,,,true,4010
46762,46762,TERMICA 3X16A BAW - K43C16 BAW,TERMICA 3X16A BAW K43C16 BAW,Electricidad,,unidad,,,,,,,true,4011
46763,46763,TERMICA 4X40A BAW - K44C40 BAW,TERMICA 4X40A BAW K44C40 BAW,Electricidad,,unidad,,,,,,,true,4012
46768,46768,TERMICA 4X10A BAW - K44C10 BAW,TERMICA 4X10A BAW K44C10 BAW,Electricidad,,unidad,,,,,,,true,4017
46186,46186,TERMICA 2X16A BAW - K42C16 BAW,TERMICA 2X16A BAW K42C16 BAW,Electricidad,,unidad,,,,,,,true,4020
21710,21710,CAJA PARA TERMICAS 4 BIP 8 BOCAS IP65 GRIS 045000G,CAJA PARA TERMICAS 4 BIP 8 BOCAS IP65 GRIS 045000G,Electricidad,,unidad,,,,,,,true,4221
21719,21719,CAJA TERMICA EXTERIOR 2 BIP. BLANCA S045003B,CAJA TERMICA EXTERIOR 2 BIP BLANCA S045003B,Electricidad,,unidad,,,,,,,true,4227
28286,28286,SPOT BLANCO EMBUTIR PARA DICROICA 105 MM FIJO,SPOT BLANCO EMBUTIR PARA DICROICA 105 MM FIJO,Iluminación,,unidad,,,,,,,true,4504
30884,30884,PANEL LED PLAFON REDONDO 24W LD D 300MM BCO,PANEL LED PLAFON REDONDO 24W LD D 300MM BCO,Iluminación,,unidad,,,,,,,true,4507
31198,31198,PROYECTOR DE LED SMD SL-FL 50W LD,PROYECTOR DE LED SMD SL FL 50W LD,Iluminación,,unidad,,,,,,,true,4509
31568,31568,PROYECTOR DE LED SMD SL-FL 50W LC,PROYECTOR DE LED SMD SL FL 50W LC,Iluminación,,unidad,,,,,,,true,4510
32083,32083,PANEL LED RED 20W L/D EMBUTIR TBCIN SMD-620BW-UF**,PANEL LED RED 20W L/D EMBUTIR TBCIN SMD 620BW UF,Iluminación,,unidad,,,,,,,true,4527
46447,46447,PANEL LED CUAD 6W L/D EMBUTIR 6823,PANEL LED CUAD 6W L/D EMBUTIR 6823,Iluminación,,unidad,,,,,,,true,4553
46455,46455,PANEL LED CUAD 6W L/C EMBUTIR 6824,PANEL LED CUAD 6W L/C EMBUTIR 6824,Iluminación,,unidad,,,,,,,true,4558
46592,46592,"PRECINTO 4,8X200MM NEGRO (X100)-7415",PRECINTO 4 8X200MM NEGRO X100 7415,Ferretería general,,unidad,,,,,,,true,4562
45907,45907,PANEL LED REDONDO EMBUTIR 18W 4000K LUZ NEUTRA,PANEL LED REDONDO EMBUTIR 18W 4000K LUZ NEUTRA,Iluminación,,unidad,,,,,,,true,4652
45946,45946,PANEL LED CUADRADO APLICAR 24W LUZ FRIA - 6000K,PANEL LED CUADRADO APLICAR 24W LUZ FRIA 6000K,Iluminación,,unidad,,,,,,,true,4655
33321,33321,PANEL LED CUAD 25W L/D APLICAR TBCIN SMD-825BW-REC,PANEL LED CUAD 25W L/D APLICAR TBCIN SMD 825BW REC,Iluminación,,unidad,,,,,,,true,4733
33330,33330,PANEL LED CUA 20WL/C APLICAR TBCIN SMD-620BWW-RECT,PANEL LED CUA 20WL/C APLICAR TBCIN SMD 620BWW RECT,Iluminación,,unidad,,,,,,,true,4735
33584,33584,PROYECTOR DE LED ALTA POTENCIA 100W L/D SBN100,PROYECTOR DE LED ALTA POTENCIA 100W L/D SBN100,Iluminación,,unidad,,,,,,,true,4776
4554,4554,"CURVA HH 90-3/4""-(20MM) EPOXI",CURVA HH 90 3/4 20MM EPOXI,Plomería agua,,unidad,,,,,,,true,5081
4681,4681,"BUJE REDUCCION-2""X3/4"" EPOXI",BUJE REDUCCION 2 X3/4 EPOXI,Plomería agua,,unidad,,,,,,,true,5157
26600,26600,CURVA 90° 63 MM ERA,CURVA 90 63 MM ERA,Plomería agua,,unidad,,,,,,,true,5292
38054,38054,"MONTURA 160 MM X 3""",MONTURA 160 MM X 3,Ferretería general,,unidad,,,,,,,true,5427
36266,36266,CALDERA MINIBOX 24T KCAL-DUAL TB-SAL. 60/100 CONSAL,CALDERA MINIBOX 24T KCAL DUAL TB SAL 60/100 CONSAL,Gas,,unidad,,,,,,,true,5462
36820,36820,MANGO ALUMINIO TELESCOPICO 4 mts,MANGO ALUMINIO TELESCOPICO 4 MTS,Ferretería general,,metro,,,,,,,true,5501
43008,43008,MANGO ALUMINIO TELESCOPICO 4.8 mts,MANGO ALUMINIO TELESCOPICO 4 8 MTS,Ferretería general,,metro,,,,,,,true,5506
47792,47792,BUJE RED. GALVANIZADO 2 1/2°A 2°,BUJE RED GALVANIZADO 2 1/2 A 2,Plomería agua,,unidad,,,,,,,true,5844
27063,27063,GABINETE PARA COLECTOR 600X450 CALEFACCION,GABINETE PARA COLECTOR 600X450 CALEFACCION,Construcción,,unidad,,,,,,,true,5956
15510,15510,CALEFACTOR LONGVIE TIRO BALAN 5000 EBA5S,CALEFACTOR LONGVIE TIRO BALAN 5000 EBA5S,Gas,,unidad,,,,,,,true,5991
